BusinessEntityID,Name,ContactType,Title,FirstName,MiddleName,LastName,Suffix,PhoneNumber,PhoneNumberType,EmailAddress,EmailPromotion
568,Hobby Store,Owner,Mr.,Edward,T.,Buensalido,null,315-555-0166,Cell,edward0@adventure-works.com,0
570,Professional Cycle Store,Owner,Ms.,Megan,E.,Burke,null,148-555-0149,Cell,megan0@adventure-works.com,2
598,Sheet Metal Manufacturing,Owner,Ms.,Barbara,J.,Calone,null,145-555-0152,Cell,barbara2@adventure-works.com,0
600,Thorough Parts and Repair Services,Owner,Ms.,Lindsey,R.,Camacho,null,827-555-0143,Work,lindsey0@adventure-works.com,0
602,Uttermost Bike Shop,Owner,Sr.,Gustavo,null,Camargo,null,1 (11) 500 555-0118,Cell,gustavo1@adventure-works.com,0
624,Budget Toy Store,Owner,Mr.,Tony,null,Wang,null,859-555-0100,Work,tony1@adventure-works.com,0
644,Aerobic Exercise Company,Owner,Mr.,Bryan,null,Walton,null,858-555-0100,Work,bryan3@adventure-works.com,0
646,Rural Sporting Goods,Owner,Mr.,Matthew,null,Carroll,null,1 (11) 500 555-0191,Work,matthew0@adventure-works.com,0
648,Corner Bicycle Supply,Owner,Mr.,Joseph,N.,Castellucio,null,180-555-0114,Cell,joseph1@adventure-works.com,2
650,Distance Bikes,Owner,Ms.,Pamela,A.,Carlson,null,353-555-0188,Work,pamela1@adventure-works.com,2
664,Casual Bicycle Store,Owner,Mr.,Baris,null,Cetinok,null,301-555-0128,Cell,baris1@adventure-works.com,1
666,Fitness Discount Store,Owner,Mr.,Sean,null,Chai,null,1 (11) 500 555-0134,Cell,sean3@adventure-works.com,0
668,General Cycle Storehouse,Owner,Mr.,Pat,A.,Chambers,null,127-555-0124,Cell,pat1@adventure-works.com,0
670,Fitness Cycling,Owner,Mr.,Forrest,J.,Chandler,null,448-555-0179,Work,forrest0@adventure-works.com,1
672,Good Bike Shop,Owner,Mr.,Lee,J.,Chapla,null,223-555-0184,Cell,lee0@adventure-works.com,2
674,Imaginary Toys,Owner,Mr.,Greg,null,Chapman,null,708-555-0169,Work,greg1@adventure-works.com,0
784,Online Bike Catalog,Owner,Ms.,Ann,B.,Wilson,null,446-555-0100,Work,ann3@adventure-works.com,1
786,Outdoor Equipment Store,Owner,Mr.,Sam,L.,Wheeler,null,477-555-0100,Cell,sam0@adventure-works.com,0
790,Preferred Bikes,Owner,Ms.,Vivian,M.,Whipple,null,176-555-0100,Cell,vivian0@adventure-works.com,2
812,Sundry Sporting Goods,Owner,Mr.,Rudolph,J.,Dillon,Sr.,722-555-0169,Cell,rudolph0@adventure-works.com,0
814,Excellent Riding Supplies,Owner,Mr.,Andrew,null,Dixon,null,576-555-0171,Cell,andrew3@adventure-works.com,0
816,Farthermost Bike Shop,Owner,Mr.,Blaine,null,Dockter,null,156-555-0187,Work,blaine0@adventure-works.com,1
818,Suburban Cycle Shop,Owner,Ms.,Cindy,M.,Dodd,null,706-555-0140,Cell,cindy0@adventure-works.com,2
820,Weekend Tours,Owner,Mr.,John,T.,Donovan,Jr.,754-555-0134,Work,john15@adventure-works.com,1
928,Rural Cycle Emporium,Owner,Ms.,Kathleen,M.,Garza,null,150-555-0127,Cell,kathleen0@adventure-works.com,2
930,Associated Bikes,Owner,Mr.,Dominic,P.,Gash,null,192-555-0173,Work,dominic0@adventure-works.com,0
932,Modular Cycle Systems,Owner,Ms.,Janet,M.,Gates,null,710-555-0173,Work,janet1@adventure-works.com,0
934,A Bike Store,Owner,Mr.,Orlando,N.,Gee,null,245-555-0173,Cell,orlando0@adventure-works.com,0
936,Journey Sporting Goods,Owner,Mr.,Darren,null,Gehring,null,417-555-0182,Cell,darren0@adventure-works.com,1
938,Two Bike Shops,Owner,Mr.,Jim,null,Geist,null,724-555-0161,Work,jim1@adventure-works.com,0
940,Cycles Wholesaler & Mfg.,Owner,Ms.,Barbara,J.,German,null,1 (11) 500 555-0181,Cell,barbara4@adventure-works.com,0
942,Wheels Inc.,Owner,Mr.,Tom,null,Getzinger,null,1 (11) 500 555-0198,Cell,tom2@adventure-works.com,0
988,Manufacturers Inc,Owner,null,Rohinton,null,Wadia,null,155-555-0100,Cell,rohinton0@adventure-works.com,1
990,Locks Company,Owner,Ms.,Janice,A.,Vrins,null,282-555-0100,Work,janice2@adventure-works.com,2
994,Incomparable Bicycle Store,Owner,Ms.,Florence,M.,Vonholt,null,128-555-0100,Cell,florence0@adventure-works.com,0
996,Hometown Riding Supplies,Owner,Mr.,William,null,Vong,null,809-555-0100,Cell,william6@adventure-works.com,1
1000,Games and Sport Supply Company,Owner,Ms.,Filomena,T.,Visser,null,874-555-0100,Cell,filomena0@adventure-works.com,0
1002,Distant Inn,Owner,Mr.,Keith,N.,Virden,null,914-555-0100,Work,keith1@adventure-works.com,1
1006,Economic Parts Supply,Owner,Ms.,Homer,J.,Villa,null,129-555-0100,Work,homer0@adventure-works.com,0
1008,Precision Gears Inc.,Owner,Mr.,Shane,P.,Vigil,null,811-555-0100,Work,shane3@adventure-works.com,0
1012,Stylish Department Stores,Owner,Ms.,Merrill,R.,Steel,null,513-555-0100,Cell,merrill0@adventure-works.com,1
1014,Bike World,Owner,Ms.,Beth,K.,Stanley,null,572-555-0100,Cell,beth1@adventure-works.com,0
1018,Trusted Catalog Store,Owner,Mr.,Jeff,null,Stammler,null,632-555-0100,Work,jeff5@adventure-works.com,0
1020,Bicycle Warehouse Inc.,Owner,null,Annik,null,Stahl,null,644-555-0100,Cell,annik1@adventure-works.com,0
1024,Exemplary Cycles,Owner,Mr.,Mahesh,null,Smith,null,610-555-0100,Work,mahesh0@adventure-works.com,1
1028,Progressive Sports,Owner,Ms.,Geraldine,T.,Spicer,null,230-555-0100,Cell,geraldine0@adventure-works.com,1
1030,Underglaze and Finish Company,Owner,Ms.,Doris,null,Hartwig,null,703-555-0158,Work,doris1@adventure-works.com,0
1032,Brakes and Gears,Owner,Mr.,Roger,null,Harui,null,774-555-0133,Cell,roger0@adventure-works.com,2
1034,The Accessories Store,Owner,Ms.,Ann,T.,Hass,null,713-555-0168,Cell,ann2@adventure-works.com,2
1036,Mountain Bike Store,Owner,Mr.,Mark,null,Hassall,null,751-555-0119,Work,mark4@adventure-works.com,1
1038,Bike Part Wholesalers,Owner,Mr.,Neal,B.,Hasty,III,1 (11) 500 555-0191,Work,neal0@adventure-works.com,1
1040,Family Cycle Store,Owner,Mr.,James,B.,Haugh,Jr.,763-555-0120,Cell,james8@adventure-works.com,1
1042,Popular Bike Lines,Owner,Mr.,Jeff,null,Hay,null,1 (11) 500 555-0182,Cell,jeff1@adventure-works.com,1
1044,Superb Sales and Repair,Owner,Ms.,Brenda,F.,Heaney,null,393-555-0167,Work,brenda3@adventure-works.com,0
1046,Better Bike Shop,Owner,null,James,null,Hendergart,null,967-555-0129,Work,james9@adventure-works.com,0
1048,Countryside Company,Owner,Mr.,John,null,Hanson,null,107-555-0117,Work,john20@adventure-works.com,1
1050,First Bike Store,Owner,Ms.,Valerie,M.,Hendricks,null,859-555-0140,Cell,valerie0@adventure-works.com,1
1052,Traditional Department Stores,Owner,Mr.,Jay,null,Henningsen,null,272-555-0126,Work,jay3@adventure-works.com,0
1054,Eastside Cycle Shop,Owner,Mr.,Jeff,D.,Henshaw,null,1 (11) 500 555-0118,Cell,jeff2@adventure-works.com,0
1056,General Department Stores,Owner,Mr.,Kari,null,Hensien,null,143-555-0129,Cell,kari0@adventure-works.com,1
1058,Mass Market Bikes,Owner,Ms.,Deena,J.,Herman,null,1 (11) 500 555-0197,Cell,deena0@adventure-works.com,2
1060,Operational Manufacturing,Owner,Ms.,Irene,J.,Hernandez,null,790-555-0197,Work,irene0@adventure-works.com,0
1062,Online Bike Warehouse,Owner,Mr.,Jésus,null,Hernandez,null,214-555-0145,Work,jésus0@adventure-works.com,0
1064,Retread Tire Company,Owner,Ms.,Pam,L.,Herrick,null,456-555-0184,Cell,pam0@adventure-works.com,0
1066,Small Bike Shop,Owner,Ms.,Cheryl,M.,Herring,null,158-555-0154,Cell,cheryl0@adventure-works.com,0
1068,Superior Hardware Distributors,Owner,Mr.,Ronald,K.,Heymsfield,null,784-555-0120,Cell,ronald1@adventure-works.com,0
1070,Fitness Sport Boutique,Owner,Mr.,Sidney,null,Higa,null,215-555-0197,Cell,sidney1@adventure-works.com,2
1072,Producer Goods Clearinghouse,Owner,Ms.,Onetha,F.,Higgs,null,1 (11) 500 555-0178,Work,onetha0@adventure-works.com,1
1074,Recreation Systems,Owner,Ms.,Fran,P.,Highfill,null,117-555-0110,Cell,fran0@adventure-works.com,0
1076,Rustic Bike Store,Owner,Ms.,Geneva,T.,Hill,null,1 (11) 500 555-0144,Cell,geneva0@adventure-works.com,2
1078,Eastside Parts Shop,Owner,Mr.,Andrew,R.,Hill,null,194-555-0149,Cell,andrew4@adventure-works.com,0
1080,Exchange Parts Inc.,Owner,Mr.,Reinout,null,Hillmann,null,597-555-0132,Cell,reinout1@adventure-works.com,0
1082,First Cycle Store,Owner,Mr.,Mike,null,Hines,null,454-555-0160,Work,mike3@adventure-works.com,1
1084,Running and Cycling Gear,Owner,Mr.,Matthew,null,Hink,null,146-555-0176,Cell,matthew3@adventure-works.com,2
1086,Seventh Bike Store,Owner,Ms.,Nancy,E.,Hirota,null,860-555-0119,Cell,nancy2@adventure-works.com,0
1088,Fast Services,Owner,Ms.,Rose,null,Hirsch,null,1 (11) 500 555-0157,Work,rose0@adventure-works.com,1
1090,General Associates,Owner,Mr.,Douglas,null,Hite,null,419-555-0166,Work,douglas3@adventure-works.com,0
1092,Good Toys,Owner,Mr.,David,null,Hodgson,null,969-555-0117,Work,david16@adventure-works.com,2
1094,Little Bicycle Supply Shop,Owner,Ms.,Helge,null,Hoeing,null,850-555-0198,Cell,helge0@adventure-works.com,1
1096,Retail Toy Store,Owner,Ms.,Barbara,null,Hoffman,null,140-555-0188,Work,barbara5@adventure-works.com,0
1098,Strenuous Exercise Shop,Owner,Ms.,Holly,J.,Holt,null,654-555-0150,Cell,holly1@adventure-works.com,0
1100,All Seasons Sports Supply,Owner,Mr.,Bob,null,Hodges,null,129-555-0120,Work,bob2@adventure-works.com,1
1102,Leisure Clearing House,Owner,Ms.,Jean,J.,Holloway,null,1 (11) 500 555-0181,Work,jean2@adventure-works.com,1
1104,Outdoor Toy Store,Owner,Mr.,Michael,null,Holm,null,1 (11) 500 555-0123,Cell,michael17@adventure-works.com,2
1106,The Commissary,Owner,Mr.,Eddie,M.,Holmes,null,570-555-0199,Cell,eddie0@adventure-works.com,0
1108,Affordable Sports Equipment,Owner,Ms.,Juanita,J.,Holman,null,996-555-0196,Cell,juanita0@adventure-works.com,2
1110,Local Sales and Rental,Owner,Mr.,Peter,null,Houston,null,632-555-0171,Cell,peter3@adventure-works.com,2
1166,Home Town Bike Store,Owner,Ms.,Danielle,B.,Johnson,null,356-555-0190,Cell,danielle1@adventure-works.com,1
1168,Optimal Bikes,Owner,Mr.,Greg,M.,Johnson,null,523-555-0170,Work,greg3@adventure-works.com,1
1170,Sample Bike Store,Owner,Mr.,Barry,null,Johnson,null,858-555-0140,Cell,barry1@adventure-works.com,1
1172,Extras Sporting Goods,Owner,Mr.,Brian,null,Johnson,null,320-555-0134,Work,brian6@adventure-works.com,2
1174,Sure & Reliable Sporting Goods,Owner,Mr.,David,null,Johnson,null,476-555-0139,Cell,david18@adventure-works.com,2
1176,Eleventh Bike Store,Owner,Mr.,Willis,null,Johnson,null,230-555-0164,Cell,willis1@adventure-works.com,1
1178,Enterprise Center,Owner,Ms.,Tamara,null,Johnston,null,1 (11) 500 555-0187,Work,tamara0@adventure-works.com,0
1180,Purple Bicycle Company,Owner,Mr.,Robert,E.,Jones,null,595-555-0131,Cell,robert6@adventure-works.com,1
1182,New and Used Bicycles,Owner,Mr.,Brannon,null,Jones,null,895-555-0160,Cell,brannon0@adventure-works.com,2
1184,Separate Parts Corporation,Owner,Ms.,Jean,null,Jordan,null,207-555-0129,Work,jean3@adventure-works.com,1
1186,Basic Bike Company,Owner,Ms.,Peggy,J.,Justice,null,170-555-0189,Cell,peggy0@adventure-works.com,0
1188,"Fabrikam Inc., West",Owner,Ms.,Diane,F.,Krane,null,224-555-0126,Work,diane4@adventure-works.com,0
1190,Mechanical Brake Manufacturers,Owner,Mr.,Scott,B.,Kaffer,null,1 (11) 500 555-0179,Cell,scott5@adventure-works.com,2
1192,Non-Slip Pedal Company,Owner,Ms.,Sandra,T.,Kitt,null,303-555-0117,Cell,sandra2@adventure-works.com,0
1194,Variety Bike Outlet,Owner,Ms.,Wendy,null,Kahn,null,685-555-0176,Cell,wendy1@adventure-works.com,2
1196,Weekend Bike Tours,Owner,Mr.,Sandeep,null,Kaliyath,null,495-555-0113,Work,sandeep1@adventure-works.com,0
1198,"Fabrikam Inc., East",Owner,Mr.,John,null,Kane,null,1 (11) 500 555-0186,Cell,john21@adventure-works.com,1
1200,General Supplies,Owner,Ms.,Lori,null,Kane,null,765-555-0141,Cell,lori2@adventure-works.com,0
1202,Noiseless Gear Company,Owner,Ms.,Judith,F.,Krane,null,165-555-0172,Work,judith1@adventure-works.com,2
1204,Racing Toys,Owner,Ms.,Kay,E.,Krane,null,731-555-0187,Work,kay0@adventure-works.com,0
1206,Capable Sales and Service,Owner,Mr.,Sandeep,null,Katyal,null,928-555-0117,Cell,sandeep2@adventure-works.com,2
1208,Little Sports Center,Owner,Ms.,Bonnie,null,Kearney,null,1 (11) 500 555-0116,Cell,bonnie1@adventure-works.com,0
1210,Pretty Bikes and Toys,Owner,Mr.,Kendall,null,Keil,null,1 (11) 500 555-0115,Cell,kendall1@adventure-works.com,0
1212,Road Way Sales and Rental,Owner,Mr.,Victor,A.,Kelley,null,112-555-0195,Work,victor0@adventure-works.com,2
1214,Sturdy Toys,Owner,Mr.,John,null,Kelly,null,330-555-0116,Work,john22@adventure-works.com,1
1216,Beneficial Exercises and Activities,Owner,Mr.,Robert,null,Kelly,null,510-555-0123,Work,robert7@adventure-works.com,1
1218,Fad Outlet,Owner,Mr.,Kevin,null,Kennedy,null,275-555-0179,Cell,kevin4@adventure-works.com,1
1220,Commerce Bicycle Specialists,Owner,Ms.,Mary,R.,Kesslep,null,1 (11) 500 555-0146,Cell,mary8@adventure-works.com,0
1222,Township Inn,Owner,Ms.,Alice,L.,Kesterson,null,1 (11) 500 555-0132,Work,alice2@adventure-works.com,0
1224,Acceptable Sales & Service,Owner,Ms.,Elizabeth,null,Keyser,null,656-555-0173,Work,elizabeth2@adventure-works.com,0
1226,Brown Bicycle Company,Owner,Ms.,Tammy,J.,Khan,null,145-555-0166,Work,tammy0@adventure-works.com,0
1228,District Mall,Owner,Mr.,Imtiaz,null,Khan,null,249-555-0179,Cell,imtiaz0@adventure-works.com,0
1230,Fitness Supplies,Owner,Ms.,Karan,null,Khanna,null,390-555-0150,Cell,karan1@adventure-works.com,0
1232,Mail Market,Owner,Mr.,Joe,null,Kim,null,1 (11) 500 555-0144,Cell,joe1@adventure-works.com,2
1234,Spare Parts Co.,Owner,Mr.,Jim,null,Kim,null,1 (11) 500 555-0165,Cell,jim2@adventure-works.com,0
1236,Twelfth Bike Store,Owner,Mr.,Shane,S.,Kim,null,155-555-0149,Cell,shane2@adventure-works.com,0
1238,Consolidated Messenger,Owner,Mr.,Tim,null,Kim,null,244-555-0115,Cell,tim0@adventure-works.com,0
1240,Daring Rides,Owner,Mr.,Russell,null,King,null,871-555-0159,Cell,russell2@adventure-works.com,0
1242,Field Trip Store,Owner,Mr.,Anton,null,Kirilov,null,608-555-0162,Cell,anton0@adventure-works.com,1
1244,Finish and Sealant Products,Owner,Mr.,Christian,null,Kleinerman,null,362-555-0177,Work,christian1@adventure-works.com,0
1246,Finer Parts Shop,Owner,Mr.,Andrew,P.,Kobylinski,null,129-555-0185,Work,andrew5@adventure-works.com,0
1248,Glossy Bikes,Owner,Mr.,Reed,null,Koch,null,108-555-0171,Work,reed1@adventure-works.com,1
1250,Next Door Cycles,Owner,Mr.,Jim,null,Kennedy,null,1 (11) 500 555-0199,Work,jim3@adventure-works.com,2
1252,Up-To-Date Sports,Owner,Mr.,Kirk,T,King,null,979-555-0163,Cell,kirk2@adventure-works.com,2
1254,Mountain Bike Center,Owner,Mr.,Eugene,null,Kogan,null,136-555-0134,Cell,eugene2@adventure-works.com,0
1256,Specialty Sports Store,Owner,Mr.,Scott,null,Konersmann,null,556-555-0192,Work,scott6@adventure-works.com,2
1258,Scooters and Bikes Store,Owner,Ms.,Joy,R.,Koski,null,810-555-0198,Cell,joy0@adventure-works.com,0
1260,Closest Bicycle Store,Owner,Ms.,Pamala,M.,Kotc,null,1 (11) 500 555-0173,Work,pamala0@adventure-works.com,2
1262,Roadway Bicycle Supply,Owner,Mr.,Edward,J.,Kozlowski,Jr.,1 (11) 500 555-0170,Cell,edward1@adventure-works.com,0
1264,Refined Department Stores,Owner,Mr.,James,D.,Kramer,null,814-555-0130,Work,james10@adventure-works.com,0
1266,Reasonable Bicycle Sales,Owner,Mr.,Mitch,null,Kennedy,null,996-555-0192,Work,mitch0@adventure-works.com,1
1268,Out-of-the-Way Hotels,Owner,Mr.,James,J.,Krow,null,265-555-0190,Work,james11@adventure-works.com,0
1270,Outdoor Sports Supply,Owner,Ms.,Margaret,T.,Krupka,null,107-555-0132,Work,margaret1@adventure-works.com,0
1272,Outdoor Aerobic Systems Company,Owner,Mr.,Deepak,null,Kumar,null,1 (11) 500 555-0122,Cell,deepak0@adventure-works.com,0
1274,Self-Contained Cycle Parts Company,Owner,Mr.,Jeffrey,B.,Kung,Jr.,1 (11) 500 555-0127,Cell,jeffrey2@adventure-works.com,0
1276,Metal Clearing House,Owner,Mr.,Vamsi,null,Kuppa,null,290-555-0196,Cell,vamsi1@adventure-works.com,0
1278,Many Bikes Store,Owner,Mr.,Jeffrey,null,Kurtz,null,452-555-0179,Cell,jeffrey3@adventure-works.com,2
1280,Largest Bike Store,Owner,Mr.,Peter,null,Kurniawan,null,436-555-0160,Cell,peter4@adventure-works.com,0
1282,Kickstands and Accessories Company,Owner,Mr.,Eric,null,Lang,null,932-555-0163,Cell,eric6@adventure-works.com,0
1284,Instruments and Parts Company,Owner,Ms.,Rebecca,null,Laszlo,null,1 (11) 500 555-0155,Work,rebecca2@adventure-works.com,0
1286,Neighborhood Bicycle Storehouse,Owner,Ms.,Cecilia,M.,Laursen,null,1 (11) 500 555-0181,Work,cecilia0@adventure-works.com,0
1288,Gear-Shift Bikes Limited,Owner,Mr.,David,O,Lawrence,null,653-555-0159,Work,david19@adventure-works.com,0
1290,Frugal Bike Shop,Owner,Ms.,Elsa,null,Leavitt,null,482-555-0174,Cell,elsa0@adventure-works.com,0
1332,Catalog Store,Owner,Ms.,Ruth,B.,Ward,null,469-555-0100,Work,ruth3@adventure-works.com,0
1336,Eastside Department Store,Owner,Ms.,Irene,J.,Watada,null,794-555-0100,Cell,irene1@adventure-works.com,2
1340,Cycle Merchants,Owner,Mr.,Darren,M.,Watkins,Sr.,241-555-0100,Work,darren1@adventure-works.com,0
1344,Exotic Bikes,Owner,Ms.,Kristin,M.,Watts,null,321-555-0100,Cell,kristin1@adventure-works.com,1
1348,Healthy Activity Store,Owner,Ms.,Francis,F.,Weber,null,758-555-0100,Cell,francis0@adventure-works.com,0
1354,Ideal Components,Owner,Mr.,Ole,A.,Weldon,null,974-555-0100,Work,ole0@adventure-works.com,0
1360,Main Bicycle Services,Owner,Mr.,Nigel,null,Westbury,null,420-555-0100,Work,nigel0@adventure-works.com,2
1872,Budget Bike Company,Owner,Mr.,Sameer,A.,Tejani,null,238-555-0165,Cell,sameer1@adventure-works.com,1
1874,Eighth Bike Store,Owner,Ms.,Vanessa,J.,Tench,null,785-555-0163,Work,vanessa0@adventure-works.com,2
1876,Demand Distributors,Owner,Ms.,Judy,J.,Thames,null,799-555-0118,Cell,judy3@adventure-works.com,0
1878,Immediate Repair Shop,Owner,Ms.,Karen,M.,Theisen,null,246-555-0110,Cell,karen4@adventure-works.com,2
1880,Off-Price Bike Center,Owner,Mr.,Ram,null,Thirunavukkarasu,null,1 (11) 500 555-0114,Cell,ram0@adventure-works.com,0
1882,Red Bicycle Company,Owner,Ms.,Phyllis,A.,Thomas,null,667-555-0112,Cell,phyllis2@adventure-works.com,1
1884,Retirement Activities Association,Owner,Mr.,James,R.,Thomas,null,699-555-0184,Cell,james14@adventure-works.com,2
1886,Trendy Department Stores,Owner,Mr.,Donald,M.,Thompson,null,273-555-0111,Work,donald1@adventure-works.com,0
1888,Vintage Sport Boutique,Owner,Ms.,Kendra,N.,Thompson,null,464-555-0188,Cell,kendra0@adventure-works.com,0
