ProspectiveBuyerKey,ProspectAlternateKey,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,City,StateProvinceCode,PostalCode,Phone,Salutation,Unknown
11,54107006788,Abigail,C,Bryant,07.12.1982 0:00:00,M,F,abryant@northwindtraders.com,"60 000,00 ₽",0,0,Partial Co,Skilled Manual,1,2,2639 Anchor Court,null,Edmonds,WA,98020,914-555-0199,Ms.,1
12,32632479667,Angela,null,Bryant,16.11.1987 0:00:00,M,F,abryant@treyresearch.net,"40 000,00 ₽",0,0,Partial Hi,Clerical,1,2,6594 Jefferson St.,null,Puyallup,WA,98371,148-555-0152,Ms.,1
13,10872839093,Alexandra,null,Butler,19.04.1987 0:00:00,S,F,abutler@cohovineyard.com,"30 000,00 ₽",0,0,Partial Hi,Clerical,1,2,5967 W Las Positas Blvd,null,Pleasanton,CA,94566,469-555-0136,Ms.,4
14,43299796581,Andrea,B,Carter,17.08.1986 0:00:00,M,F,acarter@contoso.com,"50 000,00 ₽",0,0,Partial Co,Skilled Manual,1,2,220 Rose Ann Ave.,#103,West Covina,CA,91791,616-555-0135,Ms.,4
15,75533120036,Adam,A,Carter,19.01.1974 0:00:00,S,M,acarter@margiestravel.com,"70 000,00 ₽",2,0,Graduate D,Professional,1,1,4082 Roslyn Road,null,Bellingham,WA,98225,416-555-0186,Mr.,1
16,3014,Adrienne,E,Castro,11.01.1960 0:00:00,S,F,acastro@alpineskihouse.com,"50 000,00 ₽",2,1,High Schoo,Professional,1,2,5867 Sunrise Boulevard,null,Citrus Heights,CA,95610,522-555-0132,Ms.,4
17,2789,Alberto,null,Castro,10.12.1981 0:00:00,M,M,acastro@thephone-company.com,"30 000,00 ₽",0,0,High Schoo,Manual,1,1,2696 Santa Rita Dr.,null,Spokane,WA,99202,1 (11) 500 555-0146,Mr.,1
18,9408,Alicia,null,Chande,14.03.1978 0:00:00,S,F,achande@adatum.com,"50 000,00 ₽",2,2,Bachelors,Skilled Manual,0,1,5935 Isabel,null,Berkeley,CA,94704,751-555-0139,Ms.,4
19,9863,April,M,Chande,06.09.1975 0:00:00,S,F,achande@cohovineyard.com,"30 000,00 ₽",2,2,Partial Co,Manual,1,0,7939 Bayview Court,null,Los Angeles,CA,90012,1 (11) 500 555-0112,Ms.,4
20,214,Alvin,null,Chander,29.09.1975 0:00:00,S,M,achander@cohovineyard.com,"30 000,00 ₽",1,1,Bachelors,Clerical,1,1,6538 Camelback Road,null,Los Angeles,CA,90012,1 (11) 500 555-0151,Mr.,4
21,3309,Ashlee,null,Chander,15.08.1959 0:00:00,S,F,achander@lucernepublishing.com,"10 000,00 ₽",2,0,Bachelors,Clerical,1,1,9178 Camino Solano,null,Dallas,TX,75201,1 (11) 500 555-0112,Ms.,4
22,9864,April,A,Chander,21.05.1958 0:00:00,M,F,achander@margiestravel.com,"70 000,00 ₽",5,1,Partial Hi,Skilled Manual,1,3,674 Woodchuck Pl.,null,Burien,WA,98168,1 (11) 500 555-0112,Ms.,1
23,85459846854,Alexander,R,Clark,01.08.1983 0:00:00,S,M,aclark@humongousinsurance.com,"90 000,00 ₽",4,4,Partial Co,Skilled Manual,0,2,3243 Lanton Ave,null,Milwaukie,OR,97222,764-555-0135,Mr.,1
24,81635102629,Austin,null,Clark,17.01.1988 0:00:00,M,M,aclark@lucernepublishing.com,"40 000,00 ₽",0,0,High Schoo,Skilled Manual,1,2,1083 W. Hookston Road,null,Chantilly,VA,20151,809-555-0143,Mr.,5
25,21534748700,Adam,null,Coleman,05.01.1987 0:00:00,S,M,acoleman@alpineskihouse.com,"20 000,00 ₽",0,0,High Schoo,Manual,1,1,2964 St. George Dr.,null,Colma,CA,94014,1 (11) 500 555-0189,Mr.,4
26,58763294800,Antonio,null,Coleman,02.06.1986 0:00:00,M,M,acoleman@litwareinc.com,"60 000,00 ₽",0,0,Partial Co,Skilled Manual,1,2,7845 Arcadia Place,null,Portland,OR,97205,137-555-0194,Mr.,1
27,71785666346,Angel,L,Collins,15.09.1986 0:00:00,M,M,acollins@adventure-works.com,"30 000,00 ₽",0,0,Partial Hi,Clerical,1,2,3739 Donald Dr,null,Burbank,CA,91502,643-555-0121,Mr.,4
28,39624590900,Allison,null,Cook,17.05.1974 0:00:00,M,F,acook@northwindtraders.com,"20 000,00 ₽",2,2,High Schoo,Manual,0,2,3593 Buckthorn Court,#1,Kirkland,WA,98033,1 (11) 500 555-0188,Ms.,1
29,36135289072,Alexandria,L,Cooper,05.06.1977 0:00:00,S,F,acooper@cohovineyard.com,"120 000,00 ₽",0,0,Bachelors,Management,1,3,1624 Carlisle Way,null,Redwood City,CA,94063,295-555-0145,Ms.,4
30,53125457763,Alexis,M,Davis,02.10.1968 0:00:00,M,F,adavis@consolidatedmessenger,"30 000,00 ₽",0,0,Bachelors,Clerical,1,0,6900 William Richardson Ct.,null,South Bend,IN,46601,1 (11) 500 555-0183,Ms.,3
31,53315894603,Abigail,null,Davis,20.06.1965 0:00:00,S,F,adavis@fabrikam.com,"130 000,00 ₽",3,4,Partial Co,Professional,0,3,70 N.w. Plaza,null,Saint Ann,MO,63074,1 (11) 500 555-0187,Ms.,0
32,9393,Alicia,null,Deng,15.08.1979 0:00:00,S,F,adeng@cpandl.com,"70 000,00 ₽",4,0,Graduate D,Professional,1,0,8958 Carleton Street,null,Concord,CA,94519,278-555-0139,Ms.,4
33,2997,Adrienne,null,Diaz,05.04.1976 0:00:00,S,F,adiaz@cpandl.com,"30 000,00 ₽",1,1,Bachelors,Clerical,1,1,5669 Ironwood Way,null,Daly City,CA,94015,1 (11) 500 555-0117,Ms.,4
34,6446,Anne,null,Diaz,24.07.1945 0:00:00,S,F,adiaz@fineartschool.net,"20 000,00 ₽",1,0,Graduate D,Clerical,0,0,5553 Kahrs Avenue,null,Olympia,WA,98501,1 (11) 500 555-0144,Ms.,1
35,7210,Allen,null,Engineer,20.10.1970 0:00:00,S,M,aengineer@adatum.com,"20 000,00 ₽",1,0,Graduate D,Clerical,1,0,8513 Hurlstone Ct.,null,Altadena,CA,91001,1 (11) 500 555-0133,Mr.,4
36,7335,Andre,A,Engineer,24.02.1985 0:00:00,S,M,aengineer@thephone-company.com,"50 000,00 ₽",1,1,Bachelors,Skilled Manual,0,1,North 93270 Newport Highway,null,Spokane,WA,99202,458-555-0118,Mr.,1
37,7346,Andre,R,Fernandez,29.10.1984 0:00:00,S,M,afernandez@adatum.com,"20 000,00 ₽",0,0,Partial Co,Manual,1,1,2292 Springlake Drive,null,Bellflower,CA,90706,1 (11) 500 555-0184,Mr.,4
38,1242,Adriana,null,Fernandez,12.10.1946 0:00:00,S,F,afernandez@alpineskihouse.com,"110 000,00 ₽",2,3,Graduate D,Management,0,4,1314 Greenview Court,null,Colma,CA,94014,610-555-0111,Ms.,4
39,54037360548,Abigail,E,Flores,27.07.1962 0:00:00,M,F,aflores@baldwinmuseumofscience.com,"30 000,00 ₽",1,0,Bachelors,Skilled Manual,0,1,867 Maria Vega Court,null,Colma,CA,94014,622-555-0116,Ms.,4
40,21585115194,Adam,J,Foster,02.02.1966 0:00:00,M,M,afoster@woodgrovebank.com,"50 000,00 ₽",2,0,Partial Hi,Skilled Manual,1,2,4524 Ferndale Lane,null,Yakima,WA,98901,269-555-0137,Mr.,1
41,188,Alvin,null,Gao,07.08.1950 0:00:00,M,M,agao@lucernepublishing.com,"50 000,00 ₽",3,0,Bachelors,Management,1,2,3455 Southbrook Dr.,null,Ballard,WA,98107,118-555-0128,Mr.,1
42,53210049300,Alexis,L,Garcia,22.09.1959 0:00:00,M,F,agarcia@alpineskihouse.com,"50 000,00 ₽",4,0,Bachelors,Management,0,2,5038 Kenwal Rd,#126,Colma,CA,94014,581-555-0154,Ms.,4
43,3084,Ann,C,Garcia,11.09.1970 0:00:00,S,F,agarcia@fineartschool.net,"70 000,00 ₽",5,4,Partial Co,Skilled Manual,1,3,7469 Paraiso Ct.,null,Newport Hills,WA,98006,1 (11) 500 555-0116,Ms.,1
44,6735,Albert,A,Gil,23.05.1962 0:00:00,S,M,agil@fineartschool.net,"90 000,00 ₽",4,1,Partial Co,Professional,1,2,9094 William Reed Dr,null,Lynnwood,WA,98036,1 (11) 500 555-0159,Mr.,1
45,30082042217,Alexia,W,Gonzales,30.09.1962 0:00:00,S,F,agonzales@contoso.com,"90 000,00 ₽",4,2,Partial Co,Professional,0,1,5097 Waterfall Way,null,San Francisco,CA,94109,1 (11) 500 555-0140,Ms.,4
46,31656616900,Ana,null,Gonzales,18.10.1944 0:00:00,M,F,agonzales@cpandl.com,"30 000,00 ₽",2,0,Partial Co,Clerical,1,2,6306 El Dorado Way,null,Concord,CA,94519,1 (11) 500 555-0113,Ms.,4
47,45254837274,Alexandra,G,Gonzalez,20.03.1970 0:00:00,S,F,agonzalez@cpandl.com,"50 000,00 ₽",1,0,Partial Co,Skilled Manual,0,1,9075 Calle Verde,null,Concord,CA,94519,246-555-0162,Ms.,4
48,15732240080,Abigail,null,Gray,02.05.1978 0:00:00,M,F,agray@consolidatedmessenger,"80 000,00 ₽",0,0,Bachelors,Management,0,1,78025 E. Merritt Isl. Cswy.,null,Merritt Island,FL,32952,440-555-0165,Ms.,5
49,77437161207,Angel,S,Green,18.02.1986 0:00:00,S,M,agreen@margiestravel.com,"70 000,00 ₽",0,0,High Schoo,Management,0,2,7943 Cunha Ct.,null,Burien,WA,98168,1 (11) 500 555-0146,Mr.,1
50,96640200614,Alyssa,C,Griffin,16.04.1980 0:00:00,S,F,agriffin@cohovineyard.com,"60 000,00 ₽",1,0,Graduate D,Professional,1,0,6916 Azores,null,Grossmont,CA,91941,862-555-0186,Ms.,4
51,32856969833,Arianna,J,Griffin,16.09.1943 0:00:00,M,F,agriffin@woodgrovebank.com,"50 000,00 ₽",2,0,Graduate D,Management,1,2,7070 W. Watson Court,null,Yakima,WA,98901,804-555-0196,Ms.,1
52,6732,Albert,null,Gutierrez,12.03.1967 0:00:00,S,M,agutierrez@adatum.com,"70 000,00 ₽",2,1,Partial Co,Professional,0,0,7656 Ramsey Circle,null,Chandler,AZ,85225,984-555-0146,Mr.,4
53,81310099363,Alex,R,Hall,02.03.1983 0:00:00,S,M,ahall@cohovineyard.com,"50 000,00 ₽",0,0,Graduate D,Skilled Manual,1,0,9115 Arthur Rd.,null,Fremont,CA,94536,640-555-0113,Mr.,4
54,47757043200,Allison,null,Hall,08.12.1967 0:00:00,S,F,ahall@contoso.com,"80 000,00 ₽",5,4,Graduate D,Professional,0,0,Desoto Square,null,Bradenton,FL,34205,162-555-0176,Ms.,5
55,53469896316,Abigail,C,Hall,22.12.1981 0:00:00,S,F,ahall@northwindtraders.com,"90 000,00 ₽",0,0,High Schoo,Management,1,3,8036 Summit View Dr.,null,Gold Bar,WA,98251,1 (11) 500 555-0162,Ms.,1
56,88638226985,Andrew,M,Harris,07.12.1986 0:00:00,S,M,aharris@fabrikam.com,"50 000,00 ₽",0,0,Partial Co,Skilled Manual,1,2,25264 E. 260th,null,Euclid,OH,44119,635-555-0132,Mr.,3
57,5556,Alejandro,null,He,10.11.1969 0:00:00,M,M,ahe@fabrikam.com,"60 000,00 ₽",1,0,Partial Co,Skilled Manual,1,1,Pyramid Mall,null,Ithaca,NY,14850,1 (11) 500 555-0132,Mr.,2
58,78516975641,Angel,M,Hernandez,07.02.1979 0:00:00,S,M,ahernandez@adventure-works.com,"30 000,00 ₽",2,2,Partial Co,Clerical,0,2,5854 Eagle Way,null,Chula Vista,CA,91910,1 (11) 500 555-0176,Mr.,4
59,43977499604,Allison,R,Hill,24.01.1970 0:00:00,S,F,ahill@cpandl.com,"10 000,00 ₽",1,1,High Schoo,Manual,0,1,5121 Alta Vista,null,Concord,CA,94519,1 (11) 500 555-0115,Ms.,4
60,2473,Autumn,H,Hu,07.08.1953 0:00:00,M,F,ahu@fineartschool.net,"50 000,00 ₽",3,0,Graduate D,Management,1,2,9641 Matterhorn Ct.,null,Olympia,WA,98501,909-555-0193,Ms.,1
61,31616555452,Ana,null,Hughes,03.02.1961 0:00:00,M,F,ahughes@fineartschool.net,"70 000,00 ₽",5,2,Partial Hi,Skilled Manual,1,2,9302 Blue Ridge,null,Lynnwood,WA,98036,1 (11) 500 555-0165,Ms.,1
62,53178334832,Alexis,M,Jackson,18.02.1957 0:00:00,M,F,ajackson@alpineskihouse.com,"70 000,00 ₽",4,1,Bachelors,Management,1,1,651 Bridgeview St,null,Colma,CA,94014,581-555-0199,Ms.,4
63,85074842572,Austin,S,Jackson,18.02.1987 0:00:00,S,M,ajackson@margiestravel.com,"30 000,00 ₽",0,0,Partial Co,Clerical,1,1,993 Piedmont Dr.,null,Bremerton,WA,98312,1 (11) 500 555-0173,Mr.,1
64,87213770151,Anthony,null,Jackson,22.11.1975 0:00:00,M,M,ajackson@woodgrovebank.com,"10 000,00 ₽",1,1,High Schoo,Manual,0,1,5537 Baltic Sea Ct.,null,Downey,CA,90241,1 (11) 500 555-0176,Mr.,4
65,5573,Alejandro,null,Jai,14.01.1986 0:00:00,S,M,ajai@baldwinmuseumofscience.com,"20 000,00 ₽",0,0,High Schoo,Manual,1,1,881 Brannan Pl.,null,Colma,CA,94014,1 (11) 500 555-0126,Mr.,4
66,36010416200,Alexandria,null,James,22.03.1957 0:00:00,M,F,ajames@blueyonderairlines.com,"70 000,00 ₽",4,1,Bachelors,Management,1,1,2953 St. Francis Drive,null,Concord,CA,94519,713-555-0130,Ms.,4
67,31580495834,Ana,E,Jenkins,17.06.1964 0:00:00,M,F,ajenkins@humongousinsurance.com,"60 000,00 ₽",2,0,High Schoo,Professional,1,2,4769 Buchanan Ct,Unit G 202,Milwaukie,OR,97222,262-555-0118,Ms.,1
68,29988089800,Alexia,null,Jenkins,20.06.1963 0:00:00,M,F,ajenkins@wingtiptoys.com,"60 000,00 ₽",3,1,Partial Hi,Skilled Manual,0,2,907 Ameno Road,null,Tacoma,WA,98403,192-555-0126,Ms.,1
69,2499,Audrey,null,Jimenez,09.06.1970 0:00:00,S,F,ajimenez@northwindtraders.com,"10 000,00 ₽",1,1,High Schoo,Manual,1,1,9665 Pamploma Ct.,null,Kirkland,WA,98033,1 (11) 500 555-0150,Ms.,1
70,2925,Armando,null,Jimenez,01.09.1971 0:00:00,S,M,ajimenez@northwindtraders.com,"50 000,00 ₽",1,0,Partial Co,Skilled Manual,0,1,3880 Batacao,null,Kenmore,WA,98028,1 (11) 500 555-0168,Mr.,1
71,14482035636,Anna,J,Kelly,06.08.1941 0:00:00,S,F,akelly@adatum.com,"80 000,00 ₽",3,0,Graduate D,Management,1,1,7750 E Mcdowell Rd,null,Scottsdale,AZ,85257,787-555-0191,Ms.,4
72,11750849485,Amanda,C,Kelly,14.02.1963 0:00:00,M,F,akelly@adventure-works.com,"30 000,00 ₽",1,0,Bachelors,Skilled Manual,0,1,Camarillo Athletic Stores,null,Camarillo,CA,93010,134-555-0150,Ms.,4
73,10794706300,Alexandra,L,Kelly,23.12.1961 0:00:00,M,F,akelly@contoso.com,"40 000,00 ₽",3,0,Partial Co,Professional,0,2,1667 Warren Street,null,West Covina,CA,91791,711-555-0167,Ms.,4
74,9400,Alicia,null,Kumar,16.09.1960 0:00:00,M,F,akumar@cpandl.com,"10 000,00 ₽",3,0,High Schoo,Manual,1,2,5217 Cordova Way,null,Concord,CA,94519,1 (11) 500 555-0170,Ms.,4
75,9856,April,L,Lal,18.09.1959 0:00:00,M,F,alal@consolidatedmessenger,"50 000,00 ₽",2,1,High Schoo,Professional,1,2,3794 Francine Court,null,Clarkston,GA,30021,793-555-0160,Ms.,5
76,190,Alvin,L,Liang,15.09.1986 0:00:00,M,M,aliang@cohovineyard.com,"30 000,00 ₽",0,0,Partial Hi,Clerical,1,2,Pavillion @ Redlands,null,Redlands,CA,92373,222-555-0192,Mr.,4
77,2417,Aimee,null,Liang,16.05.1975 0:00:00,M,F,aliang@fabrikam.com,"20 000,00 ₽",2,2,High Schoo,Manual,0,1,1601 Crowm Court,null,Corvallis,OR,97330,1 (11) 500 555-0131,Ms.,1
78,2407,Aimee,J,Lin,22.04.1982 0:00:00,M,F,alin@litwareinc.com,"30 000,00 ₽",0,0,High Schoo,Manual,1,1,1133 Concord Place,null,Portland,OR,97205,1 (11) 500 555-0121,Ms.,1
79,9956,Amy,A,Liu,17.05.1973 0:00:00,M,F,aliu@fabrikam.com,"70 000,00 ₽",0,0,Bachelors,Professional,0,1,6837 Pirate Lane,null,Clay,NY,13041,1 (11) 500 555-0150,Ms.,2
80,32786041498,Arianna,K,Long,18.01.1979 0:00:00,M,F,along@cohovineyard.com,"10 000,00 ₽",2,2,High Schoo,Manual,1,1,1349 Palm Ave.,null,Los Angeles,CA,90012,1 (11) 500 555-0196,Ms.,4
81,96521899104,Alyssa,F,Long,05.10.1968 0:00:00,S,F,along@contoso.com,"90 000,00 ₽",4,2,Partial Co,Professional,0,1,4698 Royal Oak Rd.,null,San Francisco,CA,94109,1 (11) 500 555-0199,Ms.,4
82,10852942466,Alexandra,S,Long,03.04.1971 0:00:00,S,F,along@fabrikam.com,"10 000,00 ₽",1,0,Bachelors,Manual,1,0,8477 Riverwood Circle,null,Beaverton,OR,97005,1 (11) 500 555-0186,Ms.,1
83,30015577100,Alexia,null,Long,10.10.1959 0:00:00,S,F,along@margiestravel.com,"40 000,00 ₽",2,1,Partial Hi,Skilled Manual,1,2,1666 Edward Avenue,null,Bellingham,WA,98225,128-555-0137,Ms.,1
84,4790,Arthur,C,Lopez,02.03.1983 0:00:00,M,M,alopez@cohovineyard.com,"40 000,00 ₽",0,0,Graduate D,Clerical,1,0,7549 Longview Rd.,null,Mill Valley,CA,94941,1 (11) 500 555-0141,Mr.,4
85,827,Abby,C,Malhotra,10.06.1976 0:00:00,S,F,amalhotra@thephone-company.com,"50 000,00 ₽",0,0,Graduate D,Skilled Manual,1,0,1019 Carletto Drive,null,Sedro Woolley,WA,98284,645-555-0181,Ms.,1
86,7333,Andre,O,Malhotra,16.12.1981 0:00:00,M,M,amalhotra@thephone-company.com,"50 000,00 ₽",1,1,Graduate D,Skilled Manual,1,0,6968 Mildred Ln.,null,Sedro Woolley,WA,98284,112-555-0110,Mr.,1
87,88648338913,Andrew,R,Martin,09.04.1965 0:00:00,S,M,amartin@fabrikam.com,"50 000,00 ₽",2,0,Partial Hi,Skilled Manual,0,2,6061 St. Paul Way,null,Everett,MT,59801,951-555-0147,Mr.,0
88,87224895954,Anthony,C,Martin,30.08.1949 0:00:00,S,M,amartin@litwareinc.com,"60 000,00 ₽",3,0,Graduate D,Management,1,2,5375 Blue Ridge,null,W. Linn,OR,97068,153-555-0186,Mr.,1
89,53209384083,Alexis,I,Martin,04.05.1974 0:00:00,M,F,amartin@northwindtraders.com,"40 000,00 ₽",0,0,High Schoo,Skilled Manual,0,1,3858 Vista Diablo,Unit C,Issaquah,WA,98027,906-555-0156,Ms.,1
90,4791,Arthur,A,Martinez,02.11.1964 0:00:00,M,M,amartinez@cohovineyard.com,"110 000,00 ₽",3,4,Partial Co,Professional,1,4,9265 La Paz,null,Imperial Beach,CA,91932,1 (11) 500 555-0116,Mr.,4
91,84972505569,Austin,J,Miller,20.10.1976 0:00:00,M,M,amiller@lucernepublishing.com,"40 000,00 ₽",0,0,High Schoo,Skilled Manual,1,1,8315 Near Ct.,null,Ballard,WA,98107,257-555-0119,Mr.,1
92,43554965853,Andrea,E,Mitchell,23.04.1963 0:00:00,S,F,amitchell@lucernepublishing.com,"90 000,00 ₽",4,2,Partial Co,Professional,0,1,3427 C Del Rio Ln,null,Anacortes,WA,98221,1 (11) 500 555-0174,Ms.,1
93,85279318094,Alexander,R,Moore,07.04.1989 0:00:00,M,M,amoore@cohovineyard.com,"40 000,00 ₽",0,0,High Schoo,Skilled Manual,1,2,9713 Amhurst Way,null,Glendale,CA,91203,711-555-0180,Mr.,4
94,3001,Adrienne,null,Moreno,31.12.1973 0:00:00,M,F,amoreno@adventure-works.com,"30 000,00 ₽",2,2,Partial Co,Clerical,1,2,144 Castro Street,null,Chula Vista,CA,91910,1 (11) 500 555-0135,Ms.,4
95,1054,Andy,null,Moreno,18.11.1948 0:00:00,S,M,amoreno@cohovineyard.com,"20 000,00 ₽",1,0,Bachelors,Clerical,0,0,8202 Lyon Circle,null,Long Beach,CA,90802,1 (11) 500 555-0113,Mr.,4
96,39889201521,Allison,null,Morgan,29.09.1963 0:00:00,M,F,amorgan@fineartschool.net,"50 000,00 ₽",2,0,Partial Hi,Skilled Manual,1,2,896 Southdale,null,Monroe,WA,98272,243-555-0196,Ms.,1
97,39921854734,Alexa,null,Morgan,18.04.1982 0:00:00,M,F,amorgan@margiestravel.com,"10 000,00 ₽",3,3,High Schoo,Manual,1,1,3140 Gingham Way,null,Bremerton,WA,98312,1 (11) 500 555-0126,Ms.,1
98,38816586136,Ariana,J,Morris,30.03.1984 0:00:00,S,F,amorris@litwareinc.com,"30 000,00 ₽",0,0,Partial Co,Clerical,1,1,9972 San Miguel Rd,null,W. Linn,OR,97068,1 (11) 500 555-0116,Ms.,1
99,6728,Albert,null,Munoz,19.12.1978 0:00:00,M,M,amunoz@cpandl.com,"30 000,00 ₽",0,0,Bachelors,Clerical,1,0,9371 Corte Del Sol,null,Downey,CA,90241,1 (11) 500 555-0177,Mr.,4
100,3002,Adrienne,A,Munoz,20.06.1977 0:00:00,S,F,amunoz@northwindtraders.com,"120 000,00 ₽",0,1,Bachelors,Management,0,4,2886 Chaparral Court,Space #45,Issaquah,WA,98027,941-555-0146,Ms.,1
101,68392822146,Adrian,null,Murphy,23.06.1982 0:00:00,S,M,amurphy@fabrikam.com,"50 000,00 ₽",1,0,Graduate D,Skilled Manual,1,0,1192 Parkway Drive,null,Mill Valley,NE,68601,270-555-0127,Mr.,0
102,11696153879,Amanda,R,Murphy,17.11.1987 0:00:00,S,F,amurphy@litwareinc.com,"40 000,00 ₽",1,1,Bachelors,Skilled Manual,1,1,3223 Virgina Hills Drive,#4,Portland,OR,97205,1 (11) 500 555-0151,Ms.,1
103,9410,Alicia,D,Nara,04.02.1977 0:00:00,S,F,anara@northwindtraders.com,"70 000,00 ₽",5,5,Bachelors,Professional,1,3,769 Algiers Drive,null,Edmonds,WA,98020,1 (11) 500 555-0176,Ms.,1
104,9412,Alicia,L,Nath,23.12.1980 0:00:00,S,F,anath@adventure-works.com,"10 000,00 ₽",0,0,Partial Hi,Manual,0,2,5126 La Corte Bonita,null,Chula Vista,CA,91910,1 (11) 500 555-0170,Ms.,4
105,465,Arturo,E,Nath,11.05.1987 0:00:00,M,M,anath@humongousinsurance.com,"30 000,00 ₽",0,0,Partial Hi,Clerical,1,2,2124 Royal Arch Court,null,Milwaukie,OR,97222,464-555-0165,Mr.,1
106,43015825748,Andrea,null,Nelson,21.01.1985 0:00:00,S,F,anelson@cohovineyard.com,"50 000,00 ₽",0,0,Partial Co,Skilled Manual,1,2,9584 Logan Ct,null,Lemon Grove,CA,91945,608-555-0185,Ms.,4
107,3858,Ashlee,D,Pal,22.10.1982 0:00:00,M,F,apal@fineartschool.net,"80 000,00 ₽",0,0,High Schoo,Management,0,3,9681 Bon Homme Way,null,Lynnwood,WA,98036,1 (11) 500 555-0114,Ms.,1
108,30038343667,Alexia,null,Patterson,20.05.1983 0:00:00,S,F,apatterson@cpandl.com,"50 000,00 ₽",0,0,Graduate D,Skilled Manual,0,0,6564 Bellwood Dr,null,Concord,CA,94519,555-555-0194,Ms.,4
109,32800831198,Arianna,S,Patterson,02.12.1973 0:00:00,S,F,apatterson@margiestravel.com,"50 000,00 ₽",5,5,Bachelors,Skilled Manual,0,2,2279 Pineview Lane,null,Bellingham,WA,98225,998-555-0123,Ms.,1
110,11840580100,Amanda,null,Patterson,03.08.1959 0:00:00,S,F,apatterson@treyresearch.net,"50 000,00 ₽",2,1,Partial Co,Professional,1,2,2319 Hilltop Dr.,null,Puyallup,WA,98371,458-555-0179,Ms.,1
111,3091,Ann,null,Perez,22.06.1969 0:00:00,S,F,aperez@adventure-works.com,"100 000,00 ₽",5,0,Bachelors,Professional,1,1,8490 Longbrood Way,null,Chula Vista,CA,91910,1 (11) 500 555-0120,Ms.,4
112,32767083644,Arianna,M,Perry,21.08.1975 0:00:00,S,F,aperry@adventure-works.com,"30 000,00 ₽",2,2,Partial Co,Manual,0,0,5728 Benedict Ct.,null,Chula Vista,CA,91910,1 (11) 500 555-0186,Ms.,4
113,32331407100,Alexandria,null,Perry,23.04.1944 0:00:00,M,F,aperry@fabrikam.com,"50 000,00 ₽",2,0,Graduate D,Management,0,2,910 Main Street.,null,Sparks,NV,89431,872-555-0178,Ms.,4
114,96121359467,Alyssa,M,Peterson,21.02.1981 0:00:00,S,F,apeterson@cohovineyard.com,"60 000,00 ₽",1,0,Graduate D,Professional,1,0,6332 N. Thompson Rd,null,Grossmont,CA,91941,910-555-0146,Ms.,4
